sessID	MsgID	Text	DialogAct
PMUL1032	0	What kind of attractions are available in the centre?	Attraction-Inform(Area=centre)
PMUL1032	1	There is the Holy Trinity Church on Market Street. It is free to get in.	Attraction-Inform(Addr=Market Street;Fee=free;Name=Holy Trinity Church)
PMUL1032	3	Sorry there are no listings for multiple sports,can I check in another area?	Attraction-NoOffer(Type=multiple sports)
PMUL1032	4	How about any that are about architecture?	Attraction-Inform(Type=architecture)
PMUL1032	8	Yes, may I have the phone number and postcode? Also, is there an entrance fee?	Attraction-Request(Post;Phone;Fee)
PMUL1032	9	The phone number is 01223332320 and the entrance fee is free. The post code is cb21tt. 	Attraction-Inform(Fee=free;Phone=01223332320;Post=cb21tt)
PMUL1032	10	Thank you that is all I needed. 	general-thank()
PMUL1033	0	I need to book a train to cambridge on Monday.	Train-Inform(Dest=cambridge)
PMUL1033	1	Where will you be departing from?	Train-Request(Depart)
PMUL1033	2	I will be departing out of Stevenage.  	Train-Inform(Depart=stevenage)
PMUL1033	4	I want to arrive by 16:45.	Train-Inform(Arrive=16:45)
PMUL1033	6	Sorry, I looked at the calendar. I need a Thursday train, not a Monday.  Can you please find a train on that day instead?	Train-Inform(Day=thursday)
PMUL1033	7	Okay, no problem.  The TR1163 train leaves at 05:54.  Will that work for you?	Train-Inform(Id=TR1163;Leave=05:54)
PMUL1033	8	What time will the train arrive in Cambridge? 	Train-Inform(Dest=cambridge)
PMUL1033	9	It arrives at 06:43. 	Train-Inform(Arrive=06:43)
PMUL1033	10	Ok please book that for 5 people. 	Train-Inform(People=5)
PMUL1033	11	I have made those reservations and your reference number is  9JXA0UWF.	Train-OfferBooked(Ref=9JXA0UWF)
PMUL1033	12	Thank you. I am also looking for a museum to visit. Do you have any recommendations? 	Attraction-Inform(Type=museum)
PMUL1033	16	No thank you. 	general-thank()
PMUL1033	17	Can I look up anything else for you?	general-reqmore()
PMUL1033	18	Nope, you have been extremely helpful.  Thanks again. Bye.	general-bye()
PMUL2112	0	There's an attraction I'm looking for in Cambridge.	Attraction-Inform()
PMUL2112	1	Ok, are you looking for a church?	Attraction-Select(Type=church)
PMUL2112	2	No. I am looking for an attraction called Downing College. 	Attraction-Inform(Name=downing college)
PMUL2112	3	Downing College is in the centre on Regent Street.  The number is 01223334860. It is even free!	Attraction-Inform(Name=Downing College;Fee=free;Phone=01223334860;Addr=Regent Street;Area=centre)
PMUL2112	4	Great! Thanks so much for the info. I am also hoping you might help me find a restaurant in the centre. 	Restaurant-Inform(Area=centre)
PMUL2112	6	yes. it should be moderately priced.	Restaurant-Inform(Price=moderate)
PMUL2112	7	Were you interested in a specific kind of cuisine? 	Restaurant-Request(Food)
PMUL2112	8	European would be a nice change.	Restaurant-Inform(Food=european)
PMUL2112	9	Okay there are four matches for your request. May I make a suggestion?	Restaurant-Inform(Choice=four)
PMUL2112	13	What time would you like?	Booking-Request(Time)
PMUL2112	15	I also need the day in order to book it.	Booking-Request(Day)
PMUL2112	16	Thursday, please.  Thank you	Restaurant-Inform(Day=thursday)
PMUL2112	18	That is all I need. Thanks.	general-thank()
PMUL2110	0	Do you have any restaurants in the center of town that serve The Americas cuisine?	Restaurant-Inform(Food=the americas)
PMUL2110	2	how about one that serves modern European food?	Restaurant-Inform(Food=modern european)
PMUL2110	4	Price doesn't matter. I would like to book a table for 7 people at 13:00 on Sunday.	Restaurant-Inform(Time=13:00;Price=dont care;People=7;Day=sunday)
PMUL2110	5	I made you a reservation for 7 on Sunday at 13:00 at riverside brasserie. Your reference is DYYUTE3X and the table will be held for 15 minutes	Booking-Book(Day=Sunday;Ref=DYYUTE3X;Time=13:00;Name=riverside brasserie;People=7)
PMUL2110	6	Thank you, that is nice.	general-thank()
PMUL2110	7	Is there anything else I can help you with?	general-reqmore()
PMUL2110	8	Yes, I'm also looking for somewhere to visit in the same area as the restaurant. 	Attraction-Inform(Area=centre)
PMUL2110	10	I would love to look at Cambridge's architecture. Is this possible?	Attraction-Inform(Type=architecture)
PMUL2110	13	The address is jesus lane	Attraction-Inform(Addr=jesus lane)
PMUL2110	15	I booked a taxi from All Saints Church to Riverside Brasserie arriving before your reservation. It is a red BMW and the contact number is 07880762329.	Taxi-Inform(Phone=07880762329;Dest=Riverside Brasserie;Car=red BMW;Depart=All Saints Church)
PMUL2110	16	Thanks so much.  That will be all for today. Take care. 	general-thank()
PMUL2110	17	Thank you and enjoy your time with us!	general-greet()
MUL1703	0	Looking for a place to go to in the centre area, a type of college.	Attraction-Inform(Area=centre;Type=college)
MUL1703	4	I like to find a train that goes to broxbourne.	Train-Inform(Dest=broxbourne)
MUL1703	6	I will be leaving from Cambridge and will need to arrive by 10:30	Train-Inform(Depart=cambridge;Arrive=10:30)
MUL1703	8	Is that the schedule for Friday? That's when I need to travel. If so, please book 8 tickets for me?	Train-Inform(People=8;Day=Friday)
MUL1703	9	You are booked on train TR2519 for 8 on Friday.  The total fee  is 143.19 GBP payable at the station and your reference number is LDDIXALA.	Train-OfferBooked(Id=TR2519;Ref=LDDIXALA;People=8;Ticket=143.19 GBP;Day=Friday)
MUL1703	10	Thank you so much! Goodbye now!	general-bye()
PMUL2116	0	I'm looking for an expensive Chinese food restaurant. Can you help me?	Restaurant-Inform(Food=chinese;Price=expensive)
PMUL2116	2	I have no area preference. Can you make a suggestion for me? 	Restaurant-Request(Area)
PMUL2116	4	No but could I get the address for the hakka?	Restaurant-Request(Addr)
PMUL2116	6	Sure, I am looking for something to do in the town centre	Attraction-Inform(Area=centre)
PMUL2116	9	I have the cambridge punter boat located in postcode cb41as. I do not know the entrance fee you can call at 07807718591.	Attraction-Inform(Fee=do not know;Phone=07807718591;Name=cambridge punter boat;Post=cb41as)
PMUL2116	10	Okay thanks that's all I need from you. Have a good day, bye.	general-bye()
MUL1869	0	I'm looking for interesting museums in the centre of Cambridge, can you recommend me any?	Attraction-Inform(Area=centre;Type=museum)
MUL1869	1	I recommend the museum of archaelogy and anthropology 	Attraction-Recommend(Name=the museum of archaelogy and anthropology)
MUL1869	2	That sounds great! Can I have their address?	Attraction-Request(Addr)
MUL1869	3	They are located at university of cambridge, downing street and there is no entrance fee. Would you like their phone number as well?	Attraction-Inform(Fee=no entrance fee;Addr=university of cambridge;Addr=downing street)
MUL1869	4	Not right now, but thanks. I do need a train to cambridge that leaves after 18:30, though.	Train-Inform(Dest=cambridge;Leave=18:30)
MUL1869	5	Sure thing. Where will you be travelling from and on what day?	Train-Request(Depart;Day)
MUL1869	6	I will be departing from Stevanage on Tuesday.	Train-Inform(Depart=stevenage;Day=tuesday)
MUL1869	7	Great! Train TR6913 leaves at 19:54 and arrives by 20:43, with a price of 12.80 pounds. Would that work for you?	Train-Inform(Ticket=12.80 pounds;Arrive=20:43;Id=TR6913;Leave=19:54)
MUL1869	8	Yes, it sounds great.  Can you book 8 seats for me please?	Train-Inform(People=8)
MUL1869	10	No, thank you!	general-thank()
PMUL2114	0	I'm looking for a place called soul tree nightclub. 	Attraction-Inform(Name=soul tree nightclub)
PMUL2114	1	Soul Tree Nightclub is found in the center of town.The entrance fee is 4 Pounds and their phone number is 01223477900	Attraction-Inform(Phone=01223477900;Fee=4 Pounds;Area=center;Name=Soul Tree Nightclub)
PMUL2114	2	What type of attraction is it?	Attraction-Request(Type)
PMUL2114	3	It's classified as a nightclub type of attraction.	Attraction-Inform(Type=nightclub)
PMUL2114	4	I also need a place to eat that serves Indian food. 	Restaurant-Inform(Food=indian)
PMUL2114	6	I want to book a table for 6 at 18:45 on Thursday 	Restaurant-Inform(Time=18:45;People=6;Day=thursday)
PMUL2114	8	Thank you good bye.	general-bye()
PMUL2114	9	Thank you for allowing me to assist you. Have a great night.	general-bye()
PMUL2115	0	I am looking for places to go in the centre of town.	Attraction-Inform(Area=centre)
PMUL2115	1	What types of attractions are you interested in going to? 	Attraction-Request(Type)
PMUL2115	3	There are many churches in the area to check out.	Attraction-Recommend(Area=the area;Choice=many;Type=churches)
PMUL2115	4	A church sounds great.  It doesn't matter what type church it is.  Will you pick one and send me the address including the postcode?  	Attraction-Request(Post;Type;Addr)
PMUL2115	5	The address to all saints church is jesus lane.	Attraction-Inform(Name=all saints church;Addr=jesus lane)
PMUL2115	6	Can you also find me a restaurant?	Restaurant-Inform()
PMUL2115	7	What type of food would you like?	Restaurant-Request(Food)
PMUL2115	11	I've arranged for the taxi to get you to the restaurant by 12:45. You'll be picked up in a Black Honda. The contact number is 07690050237.	Taxi-Inform(Phone=07690050237;Arrive=12:45;Car=Black Honda)
PMUL2115	12	Alright thank you very much.	general-thank()
PMUL2115	13	I hope you have a pleasant stay!	general-welcome()
MUL1864	0	I'd like some places to go.  Some sort of entertainment.	Attraction-Inform(Type=entertainment)
MUL1864	2	I prefer the centre area.  What do you have for places to go?  Type of college maybe?	Attraction-Inform(Area=centre;Type=college)
MUL1864	4	On second thought, I'd rather go to a entertainment spot. Got any of those?	Attraction-Inform(Type=entertainment)
MUL1864	7	The postcode of corpus christi is cb21rh.	Attraction-Inform(Post=cb21rh;Name=corpus christi)
MUL1864	8	I also need to find a train leaving Cambridge on Friday and arriving in Peterborough.	Train-Inform(Depart=cambridge;Dest=peterborough;Day=friday)
MUL1864	10	I'm not picky on when I want to arrive I just want to leave after 12:45.	Train-Inform(Leave=12:45)
MUL1864	14	No thanks. You have been very helpful. Goodbye.	general-bye()
MUL1865	0	Hi I'm looking for a train that goes to Cambridge and it should leave on Wednesday and arrrive by 10:15.	Train-Inform(Depart=cambridge;Dest=cambridge;Day=wednesday;Arrive=10:15)
MUL1865	1	Where are you going to depart from?	Train-Request(Depart)
MUL1865	4	I am departing from Cambridge	Train-Inform(Depart=cambridge)
MUL1865	8	Yes, please, what is the travel time?	Train-Request(Duration)
MUL1865	10	No. I am also looking for attractions, a swiming pool in the south. 	Attraction-Inform(Area=south)
MUL1865	12	No, why don't you try a theatre, instead.	Attraction-Inform(Type=theatre)
MUL1865	13	The Junction is a theatre in the south. Their phone number is 01223511511.	Attraction-Inform(Area=south;Phone=01223511511;Name=The Junction;Type=theatre)
MUL1865	14	What is their address?	Attraction-Request(Addr)
MUL1865	15	The junction is located on Clifton Way, Their phone number is 01223511511 if you need more precise directions.	Attraction-Inform(Phone=01223511511;Addr=Clifton Way;Name=The junction)
MUL1865	16	Thank you for your assistance today. Have a great day!	general-thank()
PMUL2118	0	I am looking for a place to visit in town that is architecture. 	Attraction-Inform(Type=architecture)
PMUL2118	1	What kind of architecture are you looking for? Churches or schools?	Attraction-Select(Type=Churches or schools)
PMUL2118	3	All saints church is on jesus lane with free entrance, great saint mary's church is located at market square and has an entrance fee of 2 pounds.	Attraction-Inform(Name=All saints church;Name=great saint mary's church;Fee=free;Fee=2 pounds;Addr=jesus lane;Addr=market square)
PMUL2118	4	What is the post code for that place and the area of town it is in?	Attraction-Request(Area;Post)
PMUL2118	5	The postcode for All Saints Church is cb58bs and it is located in the city center.	Attraction-Inform(Name=All Saints Church;Post=cb58bs;Area=city center)
PMUL2118	6	Great. I also need a gastropub restaurant in the east that is expensive.	Restaurant-Inform(Area=east;Food=gastropub;Price=expensive)
PMUL2118	8	Yes please.  For 3 people at 12:45 on Friday.	Restaurant-Inform(Time=12:45;People=3;Day=friday)
PMUL2118	10	Thank you that is all I needed today. 	general-thank()
MUL1867	2	Yes, I'd love to visit a college. Is there a nice one in the city centre?	Attraction-Inform(Area=centre;Type=college)
MUL1867	5	Christ's college is free to enter.  It's located on saint andrew's street, and their phone number is 01223334900.  Is there anything else I can help you with?	Attraction-Inform(Name=Christ's college;Addr=saint andrew's street;Phone=01223334900;Fee=free)
MUL1867	6	I am looking for a train that will leave after 14:00 and should depart from cambridge.	Train-Inform(Depart=cambridge;Leave=14:00)
MUL1867	8	I will be going to Norwich this Thursday.	Train-Inform(Dest=norwich;Day=thursday)
MUL1867	9	How about the TR5190 train? It leaves Cambridge at 14:36 and arrives in Norwich at 15:55.	Train-Inform(Arrive=15:55;Dest=Norwich;Id=TR5190;Depart=Cambridge;Leave=14:36)
MUL1867	10	That sounds perfect, that's all that I needed to know, thank you for your help!	general-thank()
MUL1860	0	Hi, I am looking for some architecture to go to in the centre of town. Any ideas?	Attraction-Inform(Area=centre;Type=architecture)
MUL1860	1	i'd like to suggest to you all saints church entrance there is free	Attraction-Recommend(Fee=free;Name=all saints church)
MUL1860	2	Great, can I have the address and postcode?	Attraction-Request(Post;Addr)
MUL1860	4	I'm also going to need to catch a train into Cambridge for Sunday. 	Train-Inform(Depart=cambridge;Dest=cambridge;Day=sunday)
MUL1860	6	I'd like to go from Cambridge to Ely, and I need to be there by 18:00 for a wedding I'm attending.	Train-Inform(Depart=cambridge;Dest=ely;Arrive=18:00)
MUL1860	7	I have a train leaving cambridge to ely on sunday at 15:50 and you'll arrive by 16:07. Will that work for you?	Train-Inform(Depart=cambridge;Dest=ely;Day=sunday;Arrive=16:07;Leave=15:50)
MUL1860	8	Could you please tell me the train ID?	Train-Inform()
MUL1860	9	That would be the TR5713.	Train-Inform(Id=TR5713)
MUL1860	10	That's all. Thanks.	general-thank()
MUL1860	12	No that is all. Thank you!	general-thank()
MUL1861	0	I need some information on traveling from Cambridge. I'd like to go to Ely by train.	Train-Inform(Depart=cambridge;Dest=ely)
MUL1861	2	I would like to arrive in ely by 17:30 on thursday please.	Train-Inform(Dest=ely;Day=thursday;Arrive=17:30)
MUL1861	4	Yes, can you book eight tickets please?	Train-Inform(People=8)
MUL1861	6	I am also looking for places to go on the east side of town.  Can you give me suggestions?	Attraction-Inform(Area=east)
MUL1861	8	I think I'd like to visit a museum, preferably on the east end of town.	Attraction-Inform(Area=east;Type=museum)
MUL1861	9	There are 4 museums in the east. 3 have free admission and one is 5 pounds. 	Attraction-Inform(Area=east;Type=museums;Fee=free;Fee=5 pounds;Choice=3;Choice=1)
MUL1861	10	Any one will do. I just need the phone number.	Attraction-Request(Phone)
MUL1861	12	That's it for today.  Thanks. You've been great!	general-thank()
MUL1861	13	Have a great day! Goodbye! 	general-bye()
MUL1862	0	I am looking for a train to London Liverpool Street.	Train-Inform(Dest=london liverpool street)
MUL1862	2	I would like to leave Friday and arrive by 17:45.	Train-Inform(Day=friday;Arrive=17:45;Leave=17:45)
MUL1862	4	No, that one won't work. I have to arrive by 17:45.	Train-Inform(Arrive=17:45)
